"Date","Price","Open","High","Low","Vol.","Change %"
"02/11/2025","55.16","54.91","55.19","54.39","18.20M","-0.43%"
"02/12/2025","54.79","55.01","55.29","54.70","35.43M","-0.67%"
"02/13/2025","54.86","54.85","55.00","54.13","21.75M","0.13%"
"02/14/2025","55.67","55.22","55.81","55.00","49.80M","1.48%"
"02/17/2025","55.37","55.64","55.92","55.28","12.39M","-0.54%"
"02/18/2025","55.74","55.60","55.97","55.51","27.61M","0.67%"
"02/19/2025","55.69","55.30","55.73","54.72","26.47M","-0.09%"
"02/20/2025","57.74","56.80","58.16","56.48","76.93M","3.68%"
"02/21/2025","58.16","57.90","58.16","57.56","37.10M","0.73%"
"02/24/2025","57.63","58.10","58.57","57.48","19.08M","-0.91%"
"02/25/2025","57.07","57.30","57.44","56.89","19.55M","-0.97%"
"02/26/2025","56.72","57.37","57.69","56.72","25.40M","-0.61%"
"02/27/2025","56.30","56.45","56.99","56.01","18.66M","-0.74%"
"02/28/2025","55.15","55.94","56.14","55.15","46.78M","-2.04%"
"03/05/2025","53.50","54.04","54.11","53.31","13.84M","-2.99%"
"03/06/2025","54.09","53.55","54.40","53.46","17.68M","1.10%"
"03/07/2025","54.88","53.88","55.20","53.46","25.45M","1.46%"
"03/10/2025","53.99","54.23","54.55","53.25","23.58M","-1.62%"
"03/11/2025","54.44","54.08","54.72","53.41","23.02M","0.83%"
"03/12/2025","53.76","54.50","54.50","53.15","18.79M","-1.25%"
"03/13/2025","54.50","53.88","55.16","53.70","20.57M","1.38%"
"03/14/2025","56.29","55.20","56.41","55.16","31.77M","3.28%"
"03/17/2025","57.10","56.29","57.24","56.14","22.85M","1.44%"
"03/18/2025","57.52","57.20","57.56","56.62","18.13M","0.74%"
"03/19/2025","57.42","57.35","57.55","56.85","23.18M","-0.17%"
"03/20/2025","57.24","57.04","57.49","56.78","17.19M","-0.31%"
"03/21/2025","57.45","56.95","57.45","56.83","30.43M","0.37%"
"03/24/2025","57.15","57.95","58.24","56.96","18.62M","-0.52%"
"03/25/2025","57.34","57.32","57.75","57.11","15.60M","0.33%"
"03/26/2025","57.69","57.40","58.04","57.39","29.38M","0.61%"
"03/27/2025","58.15","58.00","58.45","57.61","15.31M","0.80%"
"03/28/2025","57.56","58.10","58.38","57.56","31.12M","-1.01%"
"03/31/2025","56.70","56.72","57.02","56.03","20.44M","-1.49%"
"04/01/2025","57.19","57.10","57.93","56.95","12.33M","0.86%"
"04/02/2025","56.93","57.21","57.30","56.60","13.02M","-0.45%"
"04/03/2025","54.87","56.00","56.44","54.76","32.17M","-3.62%"
"04/04/2025","52.68","53.22","53.52","51.60","45.78M","-3.99%"
"04/07/2025","52.05","51.71","53.48","51.17","35.90M","-1.20%"
"04/08/2025","49.20","52.35","52.81","49.02","46.64M","-5.48%"
